Rank,Code,Name,ShareNumber,AvailableShare,SharesHeld,AvailableInvestPer,SharesHeldPer,Upperlimit,date
1,2923,鼎固-KY,1740296982,10244086,1730052896,0.58,99.41,100.00,2026-05-15
2,8482,商億-KY,107444000,8882685,98561315,8.26,91.73,100.00,2026-05-15
3,6890,來億-KY,249400000,31350822,218049178,12.57,87.42,100.00,2026-05-15
4,6230,尼得科超眾,86343396,11161004,75182392,12.92,87.07,100.00,2026-05-15
5,4560,強信-KY,68097240,10134917,57962323,14.88,85.11,100.00,2026-05-15
6,2762,世界健身-KY,112500000,19769278,92730722,17.57,82.42,100.00,2026-05-15
7,6415,矽力*-KY,388056131,74103159,313952972,19.09,80.90,100.00,2026-05-15
8,1341,富林-KY,52850634,10637840,42212794,20.12,79.87,100.00,2026-05-15
9,1590,亞德客-KY,199999998,40596878,159403120,20.29,79.70,100.00,2026-05-15
10,006203,元大MSCI台灣,10218000,2199915,8018085,21.52,78.47,100.00,2026-05-15
11,3711,日月光投控,4422175232,957598160,3464577072,21.65,78.34,100.00,2026-05-15
12,6924,榮惠-KY創,20624000,4636302,15987698,22.48,77.51,100.00,2026-05-15
13,6965,中傑-KY,156336000,35501030,120834970,22.70,77.29,100.00,2026-05-15
14,2239,英利-KY,117712593,28978640,88733953,24.61,75.38,100.00,2026-05-15
15,6666,羅麗芬-KY,47388000,11760560,35627440,24.81,75.18,100.00,2026-05-15
16,8499,鼎炫-KY,41165557,11724298,29441259,28.48,71.51,100.00,2026-05-15
17,4148,全宇生技-KY,67235701,19433022,47802679,28.90,71.09,100.00,2026-05-15
18,2330,台積電,25932524521,7642733950,18289790571,29.47,70.52,100.00,2026-05-15
19,6863,永道-KY,74888000,22717750,52170250,30.33,69.66,100.00,2026-05-15
20,8488,吉源-KY,73500000,22366886,51133114,30.43,69.56,100.00,2026-05-15
1,2923,鼎固-KY,1740296982,10244086,1730052896,0.58,99.41,100.00,2026-05-15
2,8482,商億-KY,107444000,8882685,98561315,8.26,91.73,100.00,2026-05-15
3,6890,來億-KY,249400000,31350822,218049178,12.57,87.42,100.00,2026-05-15
4,6230,尼得科超眾,86343396,11161004,75182392,12.92,87.07,100.00,2026-05-15
5,4560,強信-KY,68097240,10134917,57962323,14.88,85.11,100.00,2026-05-15
6,2762,世界健身-KY,112500000,19769278,92730722,17.57,82.42,100.00,2026-05-15
7,6415,矽力*-KY,388056131,74103159,313952972,19.09,80.90,100.00,2026-05-15
8,1341,富林-KY,52850634,10637840,42212794,20.12,79.87,100.00,2026-05-15
9,1590,亞德客-KY,199999998,40596878,159403120,20.29,79.70,100.00,2026-05-15
10,006203,元大MSCI台灣,10218000,2199915,8018085,21.52,78.47,100.00,2026-05-15
11,3711,日月光投控,4422175232,957598160,3464577072,21.65,78.34,100.00,2026-05-15
12,6924,榮惠-KY創,20624000,4636302,15987698,22.48,77.51,100.00,2026-05-15
13,6965,中傑-KY,156336000,35501030,120834970,22.70,77.29,100.00,2026-05-15
14,2239,英利-KY,117712593,28978640,88733953,24.61,75.38,100.00,2026-05-15
15,6666,羅麗芬-KY,47388000,11760560,35627440,24.81,75.18,100.00,2026-05-15
16,8499,鼎炫-KY,41165557,11724298,29441259,28.48,71.51,100.00,2026-05-15
17,4148,全宇生技-KY,67235701,19433022,47802679,28.90,71.09,100.00,2026-05-15
18,2330,台積電,25932524521,7642733950,18289790571,29.47,70.52,100.00,2026-05-15
19,6863,永道-KY,74888000,22717750,52170250,30.33,69.66,100.00,2026-05-15
20,8488,吉源-KY,73500000,22366886,51133114,30.43,69.56,100.00,2026-05-15
1,2923,鼎固-KY,1740296982,10292086,1730004896,0.59,99.40,100.00,2026-05-17
2,8482,商億-KY,107444000,8884685,98559315,8.26,91.73,100.00,2026-05-17
3,6890,來億-KY,249400000,31152734,218247266,12.49,87.50,100.00,2026-05-17
4,6230,尼得科超眾,86343396,11201994,75141402,12.97,87.02,100.00,2026-05-17
5,4560,強信-KY,68097240,10173917,57923323,14.94,85.05,100.00,2026-05-17
6,2762,世界健身-KY,112500000,19880278,92619722,17.67,82.32,100.00,2026-05-17
7,6415,矽力*-KY,388056131,74578782,313477349,19.21,80.78,100.00,2026-05-17
8,1590,亞德客-KY,199999998,40199570,159800428,20.09,79.90,100.00,2026-05-17
9,1341,富林-KY,52850634,10635840,42214794,20.12,79.87,100.00,2026-05-17
10,006203,元大MSCI台灣,10218000,2199915,8018085,21.52,78.47,100.00,2026-05-17
11,3711,日月光投控,4422175232,956527681,3465647551,21.63,78.36,100.00,2026-05-17
12,6965,中傑-KY,156336000,35540030,120795970,22.73,77.26,100.00,2026-05-17
13,6924,榮惠-KY創,20624000,4712302,15911698,22.84,77.15,100.00,2026-05-17
14,2239,英利-KY,117712593,29003640,88708953,24.63,75.36,100.00,2026-05-17
15,6666,羅麗芬-KY,47388000,11765560,35622440,24.82,75.17,100.00,2026-05-17
16,8499,鼎炫-KY,41165557,11786298,29379259,28.63,71.36,100.00,2026-05-17
17,4148,全宇生技-KY,67235701,19443022,47792679,28.91,71.08,100.00,2026-05-17
18,2330,台積電,25932524521,7645852658,18286671863,29.48,70.51,100.00,2026-05-17
19,6863,永道-KY,74888000,22715750,52172250,30.33,69.66,100.00,2026-05-17
20,8488,吉源-KY,73500000,22366886,51133114,30.43,69.56,100.00,2026-05-17
1,2923,鼎固-KY,1740296982,10292086,1730004896,0.59,99.40,100.00,2026-05-17
2,8482,商億-KY,107444000,8884685,98559315,8.26,91.73,100.00,2026-05-17
3,6890,來億-KY,249400000,31152734,218247266,12.49,87.50,100.00,2026-05-17
4,6230,尼得科超眾,86343396,11201994,75141402,12.97,87.02,100.00,2026-05-17
5,4560,強信-KY,68097240,10173917,57923323,14.94,85.05,100.00,2026-05-17
6,2762,世界健身-KY,112500000,19880278,92619722,17.67,82.32,100.00,2026-05-17
7,6415,矽力*-KY,388056131,74578782,313477349,19.21,80.78,100.00,2026-05-17
8,1590,亞德客-KY,199999998,40199570,159800428,20.09,79.90,100.00,2026-05-17
9,1341,富林-KY,52850634,10635840,42214794,20.12,79.87,100.00,2026-05-17
10,006203,元大MSCI台灣,10218000,2199915,8018085,21.52,78.47,100.00,2026-05-17
11,3711,日月光投控,4422175232,956527681,3465647551,21.63,78.36,100.00,2026-05-17
12,6965,中傑-KY,156336000,35540030,120795970,22.73,77.26,100.00,2026-05-17
13,6924,榮惠-KY創,20624000,4712302,15911698,22.84,77.15,100.00,2026-05-17
14,2239,英利-KY,117712593,29003640,88708953,24.63,75.36,100.00,2026-05-17
15,6666,羅麗芬-KY,47388000,11765560,35622440,24.82,75.17,100.00,2026-05-17
16,8499,鼎炫-KY,41165557,11786298,29379259,28.63,71.36,100.00,2026-05-17
17,4148,全宇生技-KY,67235701,19443022,47792679,28.91,71.08,100.00,2026-05-17
18,2330,台積電,25932524521,7645852658,18286671863,29.48,70.51,100.00,2026-05-17
19,6863,永道-KY,74888000,22715750,52172250,30.33,69.66,100.00,2026-05-17
20,8488,吉源-KY,73500000,22366886,51133114,30.43,69.56,100.00,2026-05-17
1,2923,鼎固-KY,1740296982,10292086,1730004896,0.59,99.40,100.00,2026-05-18
2,8482,商億-KY,107444000,8884685,98559315,8.26,91.73,100.00,2026-05-18
3,6890,來億-KY,249400000,31152734,218247266,12.49,87.50,100.00,2026-05-18
4,6230,尼得科超眾,86343396,11201994,75141402,12.97,87.02,100.00,2026-05-18
5,4560,強信-KY,68097240,10173917,57923323,14.94,85.05,100.00,2026-05-18
6,2762,世界健身-KY,112500000,19880278,92619722,17.67,82.32,100.00,2026-05-18
7,6415,矽力*-KY,388056131,74578782,313477349,19.21,80.78,100.00,2026-05-18
8,1590,亞德客-KY,199999998,40199570,159800428,20.09,79.90,100.00,2026-05-18
9,1341,富林-KY,52850634,10635840,42214794,20.12,79.87,100.00,2026-05-18
10,006203,元大MSCI台灣,10218000,2199915,8018085,21.52,78.47,100.00,2026-05-18
11,3711,日月光投控,4422175232,956527681,3465647551,21.63,78.36,100.00,2026-05-18
12,6965,中傑-KY,156336000,35540030,120795970,22.73,77.26,100.00,2026-05-18
13,6924,榮惠-KY創,20624000,4712302,15911698,22.84,77.15,100.00,2026-05-18
14,2239,英利-KY,117712593,29003640,88708953,24.63,75.36,100.00,2026-05-18
15,6666,羅麗芬-KY,47388000,11765560,35622440,24.82,75.17,100.00,2026-05-18
16,8499,鼎炫-KY,41165557,11786298,29379259,28.63,71.36,100.00,2026-05-18
17,4148,全宇生技-KY,67235701,19443022,47792679,28.91,71.08,100.00,2026-05-18
18,2330,台積電,25932524521,7645852658,18286671863,29.48,70.51,100.00,2026-05-18
19,6863,永道-KY,74888000,22715750,52172250,30.33,69.66,100.00,2026-05-18
20,8488,吉源-KY,73500000,22366886,51133114,30.43,69.56,100.00,2026-05-18
